Účet,Transfery,Popis,Kategorie,Datum,Částka
Unicredit,,Vlak Varšava,Volný čas > Dovolená,17/08/2018,-2 428.76
Hotovost,,Junk,Jídlo > Nákupy,19/08/2018,-296.00
Unicredit,,McDonald - Varšava,Jídlo > Restaurace,19/08/2018,-111.48
Unicredit,,Varšava pivka,Volný čas > Párty,19/08/2018,-2 379.00
Hotovost,,pivo Fléda,Volný čas > Párty,20/08/2018,-40.00
Hotovost,,oběd,Jídlo > Restaurace,20/08/2018,-120.00
Unicredit,,Nákup,Jídlo > Nákupy,20/08/2018,-1 135.89
Unicredit,,BF - červenec 2018,Práce,21/08/2018,47 712.00
Unicredit,,Rozdíl v účtu,Další výdaje,24/08/2018,-736.49
Hotovost,,Zlín - Burger,Volný čas > Párty,25/08/2018,-110.00
Hotovost,,Brno - Brod,"Doprava > Vlaky, autobusy a jiné",25/08/2018,-292.00
Unicredit,,Amici,Jídlo > Delivery,25/08/2018,-214.00
Unicredit,,iCloud,Služby > Poplatky a subscriptions,25/08/2018,-25.00
Unicredit,,Liftago,Doprava > Další,25/08/2018,-834.00
Hotovost,,"Pivko s Michalem, pivko s Dolim",Volný čas > Párty,26/08/2018,-200.00
Unicredit,,Nákup,Jídlo > Nákupy,26/08/2018,-1 086.43
Hotovost,,Junk,Jídlo > Nákupy,27/08/2018,-100.00
Hotovost,,oběd,Jídlo > Restaurace,27/08/2018,-100.00
Hotovost,,"Sklo, filtry, zapalovače",Volný čas > Cigarety a drogy,28/08/2018,-100.00
Hotovost,,Junk,Jídlo > Nákupy,29/08/2018,-103.00
Unicredit,,Nákup,Jídlo > Nákupy,30/08/2018,-837.70
Unicredit,,Vlak - Lvov,Volný čas > Dovolená,30/08/2018,-2 100.00
Unicredit,,"Ponožky, trenky",Oblečení,30/08/2018,-725.00
Unicredit,,Damejidlo,Jídlo > Delivery,30/08/2018,-184.00
Unicredit,,Damejidlo,Jídlo > Delivery,30/08/2018,-254.00
Hotovost,,"Pivo se Šáfou, Laundry, Ponava",Volný čas > Párty,31/08/2018,-740.00
Unicredit,,Bankovní poplatky,Služby > Poplatky a subscriptions,31/08/2018,-28.20
Hotovost,,Kebab v Brodě,Jídlo > Restaurace,01/09/2018,-135.00
Hotovost,,Herna Nivnice,Volný čas > Párty,01/09/2018,-250.00
Hotovost,Unicredit,Výběr z bankomatu,,01/09/2018,1 000.00
Hotovost,,Nivnice,"Doprava > Vlaky, autobusy a jiné",01/09/2018,-15.00
Unicredit,Hotovost,Výběr z bankomatu,,01/09/2018,-1 000.00
Hotovost,,Brno - Brod,"Doprava > Vlaky, autobusy a jiné",02/09/2018,-220.00
Hotovost,,U Ritchieho,Volný čas > Párty,03/09/2018,-266.00
Hotovost,,oběd,Jídlo > Restaurace,03/09/2018,-120.00
Hotovost,,oběd,Jídlo > Restaurace,04/09/2018,-110.00
Unicredit,,víno,Volný čas > Párty,04/09/2018,-143.00
Unicredit,,Koncert MIDI Lidi,Volný čas > Kulturní akce,04/09/2018,-400.00
Unicredit,,T-mobile,Služby > Poplatky a subscriptions,04/09/2018,-458.55
Unicredit,,Nájem,Bydlení > Nájem,04/09/2018,-11 880.00
Unicredit,,VZP,Práce > VZP,04/09/2018,-2 024.00
Unicredit,,Mamka - Gemnet,Služby > Poplatky a subscriptions,04/09/2018,-289.00
Unicredit,,OSSZ,Práce > OSSZ,04/09/2018,-2 189.00
Unicredit,,RWE,Bydlení > Energie,04/09/2018,-960.00
Unicredit,,Doubravnicka,Volný čas > Párty,04/09/2018,-280.00
Hotovost,,Lence dar,Dárky,05/09/2018,-10.00
Unicredit,,U Bileho Beranka,Volný čas > Párty,05/09/2018,-472.00
Unicredit,,Damejidlo,Jídlo > Delivery,05/09/2018,-242.00
Unicredit,,Damejidlo,Jídlo > Delivery,05/09/2018,-232.00
Unicredit,,Damejidlo,Jídlo > Delivery,06/09/2018,-254.00
Hotovost,,Nějaká párty asi,Volný čas > Párty,08/09/2018,-265.00
Hotovost,,oběd,Jídlo > Restaurace,08/09/2018,-120.00
Hotovost,,Pivo s Klárou a Martinou,Volný čas > Párty,09/09/2018,-300.00
Hotovost,Unicredit,Výběr z bankomatu,,09/09/2018,1 000.00
Unicredit,Hotovost,Výběr z bankomatu,,09/09/2018,-1 000.00
Unicredit,,Cestovní pojištění,Služby > Další,09/09/2018,-268.00
Hotovost,,Vrácení dluhu Lence,Další výdaje,10/09/2018,-200.00
Unicredit,,Supermetrics,Práce > Další,10/09/2018,-857.54
Unicredit,,Lvov - ubytování,Volný čas > Dovolená,10/09/2018,-1 200.00
Unicredit,,Chorvatsko - hotovost,Volný čas > Kulturní akce,14/09/2018,-2 840.00
Unicredit,,Damejidlo,Jídlo > Delivery,15/09/2018,-199.00
Unicredit,,Nákup,Jídlo > Nákupy,16/09/2018,-1 376.51
Unicredit,,Cesta - Chorvatsko,Doprava > Další,17/09/2018,-2 240.00
Hotovost,,Barber + pomáda,Služby > Holič,18/09/2018,-730.00
Hotovost,Unicredit,Výběr z bankomatu,,18/09/2018,1 000.00
Unicredit,Hotovost,Výběr z bankomatu,,18/09/2018,-1 000.00
Unicredit,,Nový Deník,Rozvoj a vzdělání > Další,18/09/2018,-580.00
Hotovost,,"Ritchies, Naproti",Volný čas > Párty,19/09/2018,-471.00
Hotovost,,Kniha - Kašpárek,Rozvoj a vzdělání > Knihy,19/09/2018,-229.00
Hotovost,Unicredit,Výběr z bankomatu,,19/09/2018,1 000.00
Unicredit,Hotovost,Výběr z bankomatu,,19/09/2018,-1 000.00
Unicredit,,Pythonista,AppStores,19/09/2018,-249.00
Hotovost,,Smaltovna,Volný čas > Párty,20/09/2018,-148.00
Unicredit,,Smaltovna,Volný čas > Párty,20/09/2018,-324.00
Unicredit,,Víno pro Vendy,Volný čas > Párty,20/09/2018,-352.00
Unicredit,,Kniha - Proč spíme?,Rozvoj a vzdělání > Knihy,20/09/2018,-181.00
Unicredit,,Oura Ring,Majetek > Elektronika,20/09/2018,-7 336.03
Hotovost,,Rande s Martinou + Gyros,Volný čas > Párty,21/09/2018,-268.00
Unicredit,,Nákup,Jídlo > Nákupy,21/09/2018,-878.05
Unicredit,,BF - srpen 2018,Práce,21/09/2018,49 123.00
Unicredit,,S Martinou u Beránka,Volný čas > Párty,23/09/2018,-239.00
Hotovost,,Bageta,Jídlo > Nákupy,24/09/2018,-61.00
Unicredit,,Omnifocus 3,AppStores,24/09/2018,-1 050.00
Hotovost,,U Bileho Beranka,Volný čas > Párty,25/09/2018,-20.00
Hotovost,,oběd,Jídlo > Restaurace,25/09/2018,-120.00
Unicredit,,U Beranka,Jídlo > Restaurace,25/09/2018,-245.00
Unicredit,,Die Arzte,Volný čas > Kulturní akce,25/09/2018,-720.00
Unicredit,,Bella Rose - Srpen,Freelance,25/09/2018,5 000.00
Unicredit,,iCloud,Služby > Poplatky a subscriptions,25/09/2018,-25.00
Hotovost,,Koláčky na Ukrajinu,Volný čas > Cigarety a drogy,26/09/2018,-400.00
Hotovost,,oběd,Jídlo > Restaurace,26/09/2018,-120.00
Unicredit,,Damejidlo,Jídlo > Delivery,26/09/2018,-387.00
Hotovost,,U Ritchiho a nonstop,Volný čas > Párty,27/09/2018,-750.00
Hotovost,Unicredit,Výběr z bankomatu,,27/09/2018,1 000.00
Unicredit,,Nákup,Jídlo > Nákupy,27/09/2018,-622.90
Unicredit,Hotovost,Výběr z bankomatu,,27/09/2018,-1 000.00
Unicredit,,Bankovní poplatky,Služby > Poplatky a subscriptions,27/09/2018,-30.80
Unicredit,,ATM + Pyana Vyshyna DOPLNIT ještě,Volný čas > Párty,02/10/2018,-574.12
Unicredit,,Hotovost ve Lvově,Volný čas > Párty,02/10/2018,-810.19
Unicredit,,Lvov - výběr,Volný čas > Párty,03/10/2018,-2 900.02
Unicredit,,Lvov - alkohol,Volný čas > Párty,03/10/2018,-162.38
Hotovost,,oběd,Jídlo > Restaurace,04/10/2018,-198.00
Unicredit,,Nákup,Jídlo > Nákupy,04/10/2018,-1 159.20
Unicredit,,Nájem,Bydlení > Nájem,04/10/2018,-11 880.00
Unicredit,,RWE,Bydlení > Energie,04/10/2018,-960.00
Unicredit,,VZP,Práce > VZP,04/10/2018,-2 024.00
Unicredit,,OSSZ,Práce > OSSZ,04/10/2018,-2 189.00
Unicredit,,T-mobile,Služby > Poplatky a subscriptions,04/10/2018,-519.78
Unicredit,,Mamka - Gemnet,Služby > Poplatky a subscriptions,04/10/2018,-289.00
Unicredit,,RWE vratky,Bydlení,04/10/2018,452.35
Unicredit,,Cestovní pojištění,Volný čas > Dovolená,04/10/2018,-201.00
Hotovost,,Útrata v Naproti,Volný čas > Párty,05/10/2018,-1 160.00
Hotovost,Unicredit,Výběr z bankomatu,,05/10/2018,3 500.00
Unicredit,Hotovost,Výběr z bankomatu,,05/10/2018,-3 500.00
Unicredit,,"NILA - srpen, září",Freelance,05/10/2018,16 000.00
Unicredit,,Supermetrics,Práce > Další,05/10/2018,-846.00
Hotovost,,Oběd U Beránka,Jídlo > Restaurace,06/10/2018,-50.00
Unicredit,,Damejidlo,Jídlo > Delivery,06/10/2018,-239.00
Unicredit,,Damejidlo,Jídlo > Delivery,07/10/2018,-187.00
Hotovost,,Piracetam + DMAE,"Jídlo > Doplňky, nootropika a léky",08/10/2018,-463.00
Unicredit,,Nákup,Jídlo > Nákupy,08/10/2018,-1 159.11
Hotovost,,Kari pasta,Jídlo > Nákupy,09/10/2018,-100.00
Hotovost,,Schnelly za Modafinil,Další příjmy,10/10/2018,200.00
Unicredit,,Kalhoty + košile,Oblečení,10/10/2018,-3 098.00
Hotovost,,Půjčka od Evy,Další příjmy,11/10/2018,10.00
Unicredit,,Nákup,Jídlo > Nákupy,11/10/2018,-944.90
Unicredit,,Dark Reader Safari,AppStores,11/10/2018,-99.00
Hotovost,,Knihy,Rozvoj a vzdělání > Knihy,12/10/2018,-158.00
Hotovost,,Drtička + papírky,Volný čas > Cigarety a drogy,12/10/2018,-83.00
Hotovost,,Víťovi za benzín,Doprava > Další,14/10/2018,-100.00
Unicredit,,Nákup,Jídlo > Nákupy,15/10/2018,-1 231.37
Unicredit,,Doplatky za Ukrajinu,Volný čas > Párty,16/10/2018,-624.00
Unicredit,,Rozdíl v účtu,Služby > Další,16/10/2018,-867.72
Hotovost,,Čaj a voda,Volný čas > Párty,17/10/2018,-80.00
Unicredit,,Chata,Volný čas > Párty,17/10/2018,-560.00
Unicredit,,Nákup,Jídlo > Nákupy,18/10/2018,-773.38
Unicredit,,James Clear - Atomic Habits,Rozvoj a vzdělání > Knihy,18/10/2018,-299.00
Unicredit,,Damejidlo,Jídlo > Delivery,19/10/2018,-214.00
Unicredit,,BF - září 2018,Práce,19/10/2018,41 544.00
Unicredit,,Víno na kolaudačku,Volný čas > Párty,21/10/2018,-183.00
Unicredit,Twisto,Převod na Twisto,,22/10/2018,-15 000.00
Unicredit,,Spotify - Jana,Služby > Poplatky a subscriptions,22/10/2018,-280.00
Twisto,,Nákupy,Jídlo > Nákupy,22/10/2018,-1 469.88
Twisto,Unicredit,Převod z Unicredit,,22/10/2018,15 000.00
Hotovost,,Sauna,Volný čas > Fitness a sport,23/10/2018,-150.00
Unicredit,,Příspěvek na Tweetbot,AppStores,23/10/2018,-25.00
Hotovost,,Babel,Volný čas > Párty,25/10/2018,-80.00
Hotovost,,Gyros,Jídlo > Restaurace,25/10/2018,-70.00
Hotovost,,Deník N,Rozvoj a vzdělání > Další,25/10/2018,-50.00
Unicredit,,Repromeda - poplatek na říjen 2018-2019,Služby > Zdravotní náklady,25/10/2018,-1 500.00
Unicredit,,iCloud,Služby > Poplatky a subscriptions,25/10/2018,-25.00
Unicredit,,Bella Rose - Září,Freelance,25/10/2018,5 000.00
Twisto,,Withings,Majetek > Elektronika,25/10/2018,-7 232.62
Unicredit,,Sportisimo (- vratky od Ondry),Majetek > Další,26/10/2018,-1 291.00
Twisto,,Curve - test,Další výdaje,26/10/2018,-0.23
Twisto,,Nákup,Jídlo > Nákupy,26/10/2018,-107.90
Twisto,,Nákup,Jídlo > Nákupy,26/10/2018,-604.62
Hotovost,,Šatna ve Scale,Volný čas > Kulturní akce,28/10/2018,-20.00
Twisto,,Damejidlo,Jídlo > Delivery,28/10/2018,-113.00
Twisto,,Nákupy,Jídlo > Nákupy,29/10/2018,-968.38
Hotovost,,Broušení nožů,Služby > Další,30/10/2018,-211.00
Unicredit,,Posezení s Míšou,Volný čas > Párty,30/10/2018,-230.00
Unicredit,,Bankovní poplatky,Služby > Poplatky a subscriptions,31/10/2018,-30.90
Unicredit,,Sálovky,Volný čas > Fitness a sport,01/11/2018,-688.00
Unicredit,Twisto,Převod na Twisto,,01/11/2018,-10 483.51
Twisto,,Jiné,Další příjmy,01/11/2018,13.12
Twisto,Unicredit,Převod z Unicredit,,01/11/2018,10 483.51
Unicredit,,Nákup,Jídlo > Nákupy,02/11/2018,-991.88
Twisto,,Hazel,AppStores,03/11/2018,-725.53
Twisto,,Damejidlo,Jídlo > Delivery,04/11/2018,-148.00
Unicredit,,T-mobile,Služby > Poplatky a subscriptions,05/11/2018,-456.55
Unicredit,,Mamka - Gemnet,Služby > Poplatky a subscriptions,05/11/2018,-289.00
Unicredit,,OSSZ,Práce > OSSZ,05/11/2018,-2 189.00
Unicredit,,Nájem,Bydlení > Nájem,05/11/2018,-11 880.00
Unicredit,,RWE,Bydlení > Energie,05/11/2018,-960.00
Unicredit,,VZP,Práce > VZP,05/11/2018,-2 024.00
Twisto,,Nákup,Jídlo > Nákupy,05/11/2018,-826.42
Twisto,,Cashback - z Rohliku,Další příjmy,05/11/2018,314.00
Hotovost,,Sauna,Volný čas > Fitness a sport,06/11/2018,-240.00
Twisto,,Amazon - Knihy,Rozvoj a vzdělání > Knihy,06/11/2018,-12 651.11
Hotovost,,Movember párty,Volný čas > Párty,07/11/2018,-148.00
Hotovost,,Le Fusek,Oblečení,07/11/2018,-100.00
Hotovost,Unicredit,Výběr z bankomatu,,07/11/2018,1 000.00
Hotovost,,Barberbilly,Služby > Holič,07/11/2018,-400.00
Hotovost,,Vincentka,Jídlo > Nákupy,07/11/2018,-39.00
Unicredit,Hotovost,Výběr z bankomatu,,07/11/2018,-1 000.00
Twisto,,Damejidlo,Jídlo > Delivery,09/11/2018,-138.00
Hotovost,,Fleda,Volný čas > Kulturní akce,10/11/2018,-50.00
Unicredit,Twisto,Rohlik,,10/11/2018,-826.42
Unicredit,Twisto,DameJidlo,,10/11/2018,-148.00
Unicredit,Twisto,Hazel,,10/11/2018,-725.53
Unicredit,Twisto,→ Amazon knihy,,10/11/2018,-12 337.11
Twisto,,Brýle,Oblečení,10/11/2018,-4 755.00
Twisto,Unicredit,Rohlik,,10/11/2018,826.42
Twisto,Unicredit,DameJidlo,,10/11/2018,148.00
Twisto,Unicredit,Hazel,,10/11/2018,725.53
Twisto,Unicredit,→ Amazon knihy,,10/11/2018,12 337.11
Unicredit,,iPad,Další příjmy,12/11/2018,2 000.00
Twisto,,Nákup,Jídlo > Nákupy,12/11/2018,-1 315.28
Unicredit,,Tweetbot,AppStores,13/11/2018,-249.00
Hotovost,,"Fléda - vstup, šatna, voda",Volný čas > Párty,14/11/2018,-170.00
Hotovost,,Vincentka,Jídlo > Nákupy,14/11/2018,-39.00
Unicredit,,Jehly a papírky pro Glukometr,Volný čas > Fitness a sport,14/11/2018,-844.00
Hotovost,,Voda,Jídlo > Nákupy,16/11/2018,-19.00
Unicredit,,A-nanas - úklid,Služby > Další,16/11/2018,-1 430.00
Twisto,,Nákup,Jídlo > Nákupy,18/11/2018,-903.97
Unicredit,,NILA - Rijen,Freelance,19/11/2018,8 000.00
Twisto,,Beránek,Jídlo > Restaurace,19/11/2018,-300.00
Hotovost,,Pub Quiz,Volný čas > Párty,20/11/2018,-130.00
Unicredit,Twisto,Twisto: Nákup,,20/11/2018,-903.97
Unicredit,Twisto,Twisto: Nákup,,20/11/2018,-1 315.28
Unicredit,Twisto,Twisto: DameJidlo,,20/11/2018,-138.00
Unicredit,Twisto,Twisto - Brýle,,20/11/2018,-4 755.00
Unicredit,,Business Factory,Práce,20/11/2018,52 775.00
Twisto,Unicredit,Twisto: Nákup,,20/11/2018,903.97
Twisto,Unicredit,Twisto: Nákup,,20/11/2018,1 315.28
Twisto,Unicredit,Twisto: DameJidlo,,20/11/2018,138.00
Twisto,Unicredit,Twisto - Brýle,,20/11/2018,4 755.00
Hotovost,,Vincentka,Jídlo > Nákupy,21/11/2018,-39.00
Twisto,,Damejidlo,Jídlo > Delivery,21/11/2018,-260.00
Twisto,,oběd,Jídlo > Restaurace,21/11/2018,-125.00
Twisto,,Nákup,Jídlo > Nákupy,22/11/2018,-1 128.91
Unicredit,,iCloud,Služby > Poplatky a subscriptions,25/11/2018,-25.00
Twisto,,Nákup,Jídlo > Nákupy,26/11/2018,-911.03
Hotovost,,Jídlo,Jídlo > Restaurace,27/11/2018,-169.00
Unicredit,,Revolut platba,Další výdaje,28/11/2018,-300.00
Hotovost,,Dárek pro Paťase,Dárky,29/11/2018,-50.00
Unicredit,,Bankovní poplatky,Služby > Poplatky a subscriptions,30/11/2018,-19.20
Twisto,,Nákup,Jídlo > Nákupy,30/11/2018,-544.16
Hotovost,,Gyros,Jídlo > Restaurace,02/12/2018,-95.00
Hotovost,,Nootropika,"Jídlo > Doplňky, nootropika a léky",03/12/2018,-3 610.00
Hotovost,Unicredit,Výběr z bankomatu,,03/12/2018,4 000.00
Unicredit,Twisto,Převod na Twisto,,03/12/2018,-3 269.10
Unicredit,,Nepřesnosti v účtu,Další příjmy,03/12/2018,3 009.10
Unicredit,Hotovost,Výběr z bankomatu,,03/12/2018,-4 000.00
Twisto,,10% cashback z registrace,Další příjmy,03/12/2018,1 038.00
Twisto,Unicredit,Převod z Unicredit,,03/12/2018,3 269.10
Hotovost,Unicredit,Výběr z bankomatu,,04/12/2018,1 000.00
Hotovost,,Flaška na rozlučku,Dárky,04/12/2018,-490.00
Unicredit,Hotovost,Výběr z bankomatu,,04/12/2018,-1 000.00
Unicredit,,Mamka - Gemnet,Služby > Poplatky a subscriptions,04/12/2018,-289.00
Unicredit,,Nájem,Bydlení > Nájem,04/12/2018,-11 880.00
Unicredit,,VZP,Práce > VZP,04/12/2018,-2 024.00
Unicredit,,T-mobile,Služby > Poplatky a subscriptions,04/12/2018,-538.55
Unicredit,,RWE,Bydlení > Energie,04/12/2018,-960.00
Unicredit,,OSSZ,Práce > OSSZ,04/12/2018,-2 189.00
Twisto,,U Ričiho,Volný čas > Párty,04/12/2018,-100.00
Twisto,,oběd,Jídlo > Restaurace,04/12/2018,-110.00
Unicredit,,Dárek - Maceška (parfém),Dárky,06/12/2018,-604.00
Unicredit,,Knihy Vánoce,Dárky,06/12/2018,-2 367.00
Twisto,,Dárek - David (tepláky),Dárky,06/12/2018,-1 098.00
Twisto,,Dárky - Vánoce (Alza),Dárky,06/12/2018,-2 447.00
Twisto,,Nákup,Jídlo > Nákupy,06/12/2018,-1 182.44
Twisto,,Mamka - dárek (AWA shop),Dárky,06/12/2018,-1 197.00
Twisto,,Mamka - dárek (kombe),Dárky,06/12/2018,-907.00
Hotovost,,Vánoční trhy,Volný čas > Párty,07/12/2018,-90.00
Twisto,,Čaj s Barčou,Volný čas > Párty,07/12/2018,-100.00
Twisto,,U Starýho Billa,Jídlo > Restaurace,10/12/2018,-450.00
Twisto,,U Beranka,Jídlo > Restaurace,10/12/2018,-136.00
Twisto,,Nákup,Jídlo > Nákupy,11/12/2018,-690.70
Hotovost,,čaj,Volný čas > Kulturní akce,12/12/2018,-50.00
Unicredit,,Izrael - letenky,Volný čas > Dovolená,12/12/2018,-700.00
Hotovost,,Vánoční večírek,Volný čas > Párty,13/12/2018,-150.00
Hotovost,,Cukroví do práce,Dárky,13/12/2018,-170.00
Unicredit,,BF - listopad 2018,Práce,13/12/2018,33 775.00
Twisto,,Damejidlo,Jídlo > Delivery,14/12/2018,-393.00
Twisto,,Aroma difuzer,Majetek > Nábytek a vybavení,15/12/2018,-3 037.00
Twisto,,Damejidlo,Jídlo > Delivery,15/12/2018,-200.00
Hotovost,,Junk,Jídlo > Nákupy,16/12/2018,-111.00
Twisto,,U Beránka,Jídlo > Restaurace,16/12/2018,-221.00
Twisto,,Zlatá loď,Volný čas > Schůzky,16/12/2018,-200.00
Hotovost,,Spirit bar,Volný čas > Párty,17/12/2018,-300.00
Hotovost,,Vincentka,Jídlo > Nákupy,17/12/2018,-39.00
Unicredit,,Bella Rose - Říjen 2018,Freelance,17/12/2018,5 000.00
Unicredit,Twisto,TWISTO,,17/12/2018,-393.00
Unicredit,Twisto,TWISTO,,17/12/2018,-690.70
Unicredit,Twisto,TWISTO,,17/12/2018,-450.00
Unicredit,Twisto,TWISTO,,17/12/2018,-136.00
Unicredit,Twisto,TWISTO,,17/12/2018,-100.00
Unicredit,Twisto,TWISTO: Dárky,,17/12/2018,-1 098.00
Unicredit,Twisto,TWISTO: Dárky,,17/12/2018,-2 447.00
Unicredit,Twisto,TWISTO: Dárky,,17/12/2018,-1 197.00
Unicredit,Twisto,TWISTO: Dárky,,17/12/2018,-907.00
Unicredit,Twisto,TWISTO: část Nákupu (+kredity),,17/12/2018,-354.44
Twisto,,Nákup,Jídlo > Nákupy,17/12/2018,-1 540.39
Twisto,Unicredit,TWISTO,,17/12/2018,393.00
Twisto,Unicredit,TWISTO,,17/12/2018,690.70
Twisto,Unicredit,TWISTO,,17/12/2018,450.00
Twisto,Unicredit,TWISTO,,17/12/2018,136.00
Twisto,Unicredit,TWISTO,,17/12/2018,100.00
Twisto,Unicredit,TWISTO: Dárky,,17/12/2018,1 098.00
Twisto,Unicredit,TWISTO: Dárky,,17/12/2018,2 447.00
Twisto,Unicredit,TWISTO: Dárky,,17/12/2018,1 197.00
Twisto,Unicredit,TWISTO: Dárky,,17/12/2018,907.00
Twisto,Unicredit,TWISTO: část Nákupu (+kredity),,17/12/2018,354.44
Unicredit,,Bella Rose - Listopad 2018,Freelance,18/12/2018,5 500.00
Unicredit,,za lístky MidiLidi,Další příjmy,19/12/2018,400.00
Hotovost,,MIDI LIDI koncert,Volný čas > Párty,20/12/2018,-90.00
Unicredit,,ThorLights,AppStores,20/12/2018,-99.00
Twisto,,Damejidlo,Jídlo > Delivery,20/12/2018,-203.00
Twisto,,Oběd u Itala + večeře s Pavlem,Jídlo > Restaurace,21/12/2018,-504.00
Hotovost,,Brno - Brod,"Doprava > Vlaky, autobusy a jiné",23/12/2018,-110.00
Twisto,,Damejidlo,Jídlo > Delivery,23/12/2018,-213.00
Hotovost,,Babička - bánov,Dary,25/12/2018,1 000.00
Hotovost,,Brod - Brno,"Doprava > Vlaky, autobusy a jiné",26/12/2018,-125.00
Hotovost,,Babička + Děda Brodští,Dary,26/12/2018,2 500.00
Unicredit,,iCloud,Služby > Poplatky a subscriptions,26/12/2018,-25.00
Hotovost,,"Voda s Dolim, Grolikem",Volný čas > Párty,27/12/2018,-82.00
Hotovost,,Barber + pomáda,Služby > Další,27/12/2018,-850.00
Hotovost,,Vincentka,Jídlo > Nákupy,27/12/2018,-38.00
Unicredit,,Kokain + Doli,Volný čas > Cigarety a drogy,27/12/2018,-1 960.00
Unicredit,,NILA - Listopad,Freelance,27/12/2018,8 000.00
Twisto,,4pokoje s Míšou,Volný čas > Párty,27/12/2018,-214.00
Twisto,,Nákup,Jídlo > Nákupy,27/12/2018,-1 495.31
Unicredit,Twisto,Převod na Twisto,,28/12/2018,-1 495.31
Unicredit,Twisto,Převod na Twisto,,28/12/2018,-213.00
Unicredit,Twisto,Převod na Twisto,,28/12/2018,-394.00
Unicredit,Twisto,Převod na Twisto,,28/12/2018,-110.00
Unicredit,Twisto,Převod na Twisto,,28/12/2018,-203.00
Unicredit,Twisto,Převod na Twisto,,28/12/2018,-1 540.39
Unicredit,Twisto,Převod na Twisto,,28/12/2018,-221.00
Unicredit,Twisto,Převod na Twisto,,28/12/2018,-200.00
Unicredit,Twisto,Převod na Twisto,,28/12/2018,-3 037.00
Unicredit,Twisto,Převod na Twisto,,28/12/2018,-200.00
Twisto,,MindNode,AppStores,28/12/2018,-1 050.00
Twisto,Unicredit,Převod z Unicredit,,28/12/2018,1 495.31
Twisto,Unicredit,Převod z Unicredit,,28/12/2018,213.00
Twisto,Unicredit,Převod z Unicredit,,28/12/2018,394.00
Twisto,Unicredit,Převod z Unicredit,,28/12/2018,110.00
Twisto,Unicredit,Převod z Unicredit,,28/12/2018,203.00
Twisto,Unicredit,Převod z Unicredit,,28/12/2018,1 540.39
Twisto,Unicredit,Převod z Unicredit,,28/12/2018,221.00
Twisto,Unicredit,Převod z Unicredit,,28/12/2018,200.00
Twisto,Unicredit,Převod z Unicredit,,28/12/2018,3 037.00
Twisto,Unicredit,Převod z Unicredit,,28/12/2018,200.00
Hotovost,,Spirit bar,Volný čas > Párty,29/12/2018,-200.00
Hotovost,,Kniha - Poslední Samuraj,Rozvoj a vzdělání > Knihy,29/12/2018,-532.00
Twisto,,U Starýho Billa,Jídlo > Restaurace,29/12/2018,-640.00
Hotovost,,Silvestr - Fléda,Volný čas > Párty,31/12/2018,-410.00
Unicredit,Twisto,Převod na Twisto,,31/12/2018,-640.00
Unicredit,Twisto,Převod na Twisto,,31/12/2018,-1 264.00
Unicredit,,Poplatky,Služby > Poplatky a subscriptions,31/12/2018,-13.84
Twisto,Unicredit,Převod z Unicredit,,31/12/2018,640.00
Twisto,Unicredit,Převod z Unicredit,,31/12/2018,1 264.00
Twisto,,Dámejídlo,Jídlo > Delivery,02/01/2019,-213.00
Hotovost,,Edu Budget,Práce,03/01/2019,12 711.00
Hotovost,,Vincentka,Jídlo > Nákupy,03/01/2019,-38.00
Unicredit,,Cashback - Dobrovský,Další příjmy,03/01/2019,118.40
Twisto,,Hue Play,Majetek > Elektronika,03/01/2019,-4 584.00
Unicredit,,OSSZ,Práce > OSSZ,04/01/2019,-2 189.00
Unicredit,,RWE,Bydlení > Energie,04/01/2019,-960.00
Unicredit,,Mamka - Gemnet,Služby > Poplatky a subscriptions,04/01/2019,-289.00
Unicredit,,VZP,Práce > VZP,04/01/2019,-2 024.00
Unicredit,,T-mobile,Služby > Poplatky a subscriptions,04/01/2019,-522.21
Unicredit,,Nájem,Bydlení > Nájem,04/01/2019,-11 880.00
Twisto,,Rohlik.cz,Jídlo > Nákupy,04/01/2019,-1 462.47
Twisto,,Doubravnicka,Jídlo > Restaurace,04/01/2019,-90.00
Unicredit,,Pracovna - CZC,Majetek > Nábytek a vybavení,06/01/2019,-812.00
Unicredit,,Pracovna - Alza,Majetek > Nábytek a vybavení,06/01/2019,-8 180.00
Unicredit,,Pracovna/Ložnice - Alza,Majetek > Nábytek a vybavení,06/01/2019,-12 894.00
Unicredit,,Wedos - dusanvystrcil.cz,Služby > Poplatky a subscriptions,06/01/2019,-363.00
Twisto,,AWA shop - Mamka,Dárky,07/01/2019,-73.00
Twisto,,Rohlik.cz,Jídlo > Nákupy,07/01/2019,-1 232.13
Hotovost,,Bity za Boty,Další příjmy,09/01/2019,400.00
Hotovost,,S Míšou na drink,Volný čas > Párty,10/01/2019,-430.00
Unicredit,Revolut,Převod na Revolut,,10/01/2019,-8 050.00
Revolut,,Pavel - Jamajka,Volný čas > Dovolená,10/01/2019,-8 350.00
Revolut,Unicredit,Převod z Unicredit,,10/01/2019,8 050.00
Twisto,,Damejidlo,Jídlo > Delivery,11/01/2019,-203.00
Unicredit,,IKEA,Majetek > Nábytek a vybavení,12/01/2019,-49 490.00
Twisto,,Půjčení dodávky,Služby > Další,12/01/2019,-847.00
Twisto,,Dodávka - tankování,Doprava > Další,12/01/2019,-249.90
Twisto,,IKEA - snídaně,Jídlo > Restaurace,12/01/2019,-152.79
