Účet,Transfery,Popis,Kategorie,Datum,Částka
Hotovost,,Taxi,Doprava > Další,14/06/2014,-150.00
Hotovost,,Nákupy,Jídlo > Nákupy,16/06/2014,-111.00
Hotovost,,MHD,Doprava > MHD,16/06/2014,-275.00
Hotovost,,Brno,"Doprava > Vlaky, autobusy a jiné",16/06/2014,-70.00
Hotovost,,Stravování venku,Jídlo > Restaurace,17/06/2014,-60.00
Hotovost,,"S Věrkou, s Tomem",Volný čas > Párty,17/06/2014,-269.00
Hotovost,,Nákupy,Jídlo > Nákupy,18/06/2014,-44.00
Hotovost,,Nákupy,Jídlo > Nákupy,18/06/2014,-42.00
Hotovost,,Tonic,Jídlo > Nákupy,22/06/2014,-33.00
Hotovost,,Cesta z Nového Hrozenkova,"Doprava > Vlaky, autobusy a jiné",22/06/2014,-224.00
Hotovost,,Cesta do Nového Hrozenkova,"Doprava > Vlaky, autobusy a jiné",22/06/2014,-392.00
Hotovost,,Půjčka od Hareho,Další příjmy,22/06/2014,200.00
Hotovost,,Becherovka na camp,Volný čas > Párty,22/06/2014,-189.00
Hotovost,,Nákupy,Jídlo > Nákupy,23/06/2014,-24.00
Hotovost,,Voda,Jídlo > Restaurace,24/06/2014,-30.00
Hotovost,,Stravování venku,Jídlo > Restaurace,24/06/2014,-35.00
Hotovost,,"Zábava - hospody, koncerty",Volný čas > Párty,25/06/2014,-320.00
Hotovost,,Půjčka Od Toma,Dary,25/06/2014,1 000.00
Hotovost,,Nákupy,Jídlo > Nákupy,25/06/2014,-26.00
Hotovost,,Stravování venku,Jídlo > Restaurace,26/06/2014,-42.00
